time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,MBB,MSN,MWG,PLX,POW,SAB,SHB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB
10/10/2019,6.93,28.39,22.37,60.17,9.68,20.38,62.66,12.28,5.46,7.41,6.61,62.31,38.98,45.57,10.17,96.16,2.14,6.99,10.8,11.17,6.33,36.21,65.21,4.23,51.96,137.5,76.85,7.25
10/11/2019,6.93,28.3,22.27,60.67,9.68,20.41,63.4,12.28,5.53,7.41,6.61,62.31,38.92,46.85,10.05,97.06,2.18,6.99,11,11.15,6.33,36.51,65.14,4.26,52.45,139.4,77.46,7.21
10/14/2019,7.07,28.3,22.46,60.59,9.93,20.85,63.21,12.28,5.61,7.4,6.82,61.99,39.33,46.93,10.13,97.36,2.21,7.14,11.1,11.29,6.34,36.38,64.77,4.35,52.45,139.4,77.82,7.28
10/15/2019,7.04,28.11,22.59,60.25,9.93,20.74,62.72,12.01,5.59,7.36,6.79,63.28,39.58,46.93,10.09,96.72,2.21,7.09,11.05,11.46,6.33,36.46,63.66,4.4,52.62,139.6,77.64,7.36
10/16/2019,7.04,27.74,22.46,60.42,10.02,20.77,62.72,11.93,5.57,7.34,6.77,62.96,39.46,46.53,10.37,96.42,2.21,7.08,11.05,11.55,6.33,36.85,63.66,4.3,52.45,139,78.91,7.36
10/17/2019,7.04,27.92,22.27,60,10.02,20.48,62.59,11.93,5.51,7.38,6.75,62.31,38.76,46.13,10.41,95.29,2.21,7.01,10.9,11.53,6.41,36.46,63.74,4.26,52,138.5,79.27,7.34
10/18/2019,6.96,28.2,21.88,60.08,9.89,20.63,62.59,11.84,5.52,7.38,6.69,61.5,38.76,46.37,10.49,94.95,2.18,6.93,10.8,11.53,6.41,36.38,64.11,4.19,52,139.1,80.18,7.31
10/21/2019,6.75,29.05,21.45,59.58,9.73,20.41,62.72,11.84,5.53,7.31,6.59,60.69,38.76,46.05,10.37,92.28,2.14,6.83,10.95,11.29,6.41,36.04,63.74,4.12,51.96,140,80.84,7.18
10/22/2019,6.78,29.05,21.83,59.33,9.89,20.34,62.84,11.57,5.52,7.45,6.64,60.21,38.83,46.05,10.29,94.88,2.18,6.86,11,11.34,6.31,36.55,63.37,4.14,51.91,143.9,80.18,7.15
10/23/2019,6.78,28.95,21.88,59.58,9.82,20.38,62.72,11.93,5.58,7.53,6.66,61.34,38.86,45.81,10.25,94.92,2.14,6.83,11,11.31,6.33,36.51,63.3,4.19,52.05,144,80.06,7.23
